ISSN;JournalName;Publisher;Publisher Country;Beall List;DevelopedAuthors;SJR;Results;Kvadrant;WoS;Average WoS IF;DOAJ;ScopusDiscontinued
1816-4943;Research Journal of Parasitology;Academic Journals, Inc.;United States;from publishers;0,000%;0,119;32;III.;FALSE;NA;not in DOAJ;FALSE
0975-8585;Research Journal of Pharmaceutical, Biological and Chemical Sciences;Research Journal of Pharmaceutical, Biological and Chemical Sciences;India;from standalone journals;1,626%;0,186;3472;III.;FALSE;NA;not in DOAJ;FALSE
1819-3471;Research Journal of Phytochemistry;Academic Journals, Inc.;United States;from publishers;4,000%;0,189;46;III.;FALSE;NA;not in DOAJ;FALSE
1918-7173;Review of European Studies;Canadian Center of Science and Education;Canada;from publishers;8,489%;0,165;453;III.;FALSE;NA;not in DOAJ;TRUE
2077-429X;Risk Governance and Control: Financial Markets & Institutions;Virtus Interpress;Ukraine;from publishers;13,793%;0,113;155;III.;FALSE;NA;not in DOAJ;FALSE
1224-5984;Romanian Biotechnology Letters;Editura Universitatea din Bucuresti,Bucharest University Press;Romania;from standalone journals;4,103%;0,185;348;III.;TRUE;5,28;not in DOAJ;FALSE
1947-2935;Science of Advanced Materials;American Scientific Publishers;United States;from publishers;15,742%;0,427;934;III.;TRUE;53,622;not in DOAJ;FALSE
1546-198X;Sensor Letters;American Scientific Publishers;United States;from publishers;13,504%;0,161;705;III.;TRUE;11,59;not in DOAJ;FALSE
1735-1391;Shiraz E Medical Journal;Shiraz University of Medical Sciences;Iran, Islamic Republic of;from standalone journals;3,252%;0,117;117;III.;FALSE;NA;not in DOAJ;FALSE
1840-3662;Sport Science;Drustvo Pedagoga Tjelesne i Zdravstvene Kulture,Physical Education Pedagogues Association;Bosnia & Herzegovina;from standalone journals;2,516%;0,343;134;III.;FALSE;NA;not in DOAJ;FALSE
1945-4570;Stem Cell;Marsland Press;United States;from publishers;38,000%;0,111;50;IV.;FALSE;NA;not in DOAJ;TRUE
0976-3104;The IIOAB Journal;Institute of Integrative Omics and Applied Biotechnology;India;from publishers;0,000%;0,142;59;III.;TRUE;NA;normal;FALSE
0254-8704;The Journal of Environmental Biology;Journal of Environmental Biology;India;from standalone journals;3,072%;0,313;529;III.;TRUE;8,222;not in DOAJ;FALSE
1874-6136;The Open AIDS Journal;Bentham Open;Netherlands;from publishers;56,098%;1,902;32;I.;FALSE;NA;normal;FALSE
1874-4443;The Open Automation and Control Systems Journal;Bentham Open;Netherlands;from publishers;1,190%;0,11;494;III.;FALSE;NA;not in DOAJ;FALSE
1874-091X;The Open Biochemistry Journal;Bentham Open;Netherlands;from publishers;38,636%;0,445;31;IV.;FALSE;NA;normal;FALSE
1874-1207;The Open Biomedical Engineering Journal;Bentham Open;Netherlands;from publishers;25,962%;0,278;89;III.;FALSE;NA;normal;FALSE
1874-0707;The Open Biotechnology Journal;Bentham Open;Netherlands;from publishers;10,526%;0,208;68;III.;FALSE;NA;not in DOAJ;FALSE
1874-1924;The Open Cardiovascular Medicine Journal;Bentham Open;Netherlands;from publishers;45,455%;0,321;65;IV.;FALSE;NA;normal;FALSE
1874-1231;The Open Chemical Engineering Journal;Bentham Open;Netherlands;from publishers;2,632%;0,24;38;III.;FALSE;NA;not in DOAJ;FALSE
1874-1495;The Open Civil Engineering Journal;Bentham Open;Netherlands;from publishers;6,564%;0,195;239;III.;FALSE;NA;normal;FALSE
1874-8368;The Open Construction & Building Technology Journal;Bentham Open;Netherlands;from publishers;7,971%;0,597;128;III.;FALSE;NA;normal;FALSE
1874-110X;The Open Cybernetics and Systemics Journal;Bentham Open;Netherlands;from publishers;1,832%;0,106;641;III.;FALSE;NA;normal;FALSE
1874-2106;The Open Dentistry Journal;Bentham Open;Netherlands;from publishers;34,483%;0,325;143;IV.;FALSE;NA;normal;FALSE
1874-3722;The Open Dermatology Journal;Bentham Open;Netherlands;from publishers;64,865%;0,101;32;IV.;FALSE;NA;normal;FALSE
1874-1290;The Open Electrical and Electronic Engineering Journal;Bentham Open;Netherlands;from publishers;3,947%;0,117;217;III.;FALSE;NA;normal;FALSE
1876-973X;The Open Fuels & Energy Science Journal;Bentham Open;Netherlands;from publishers;5,882%;0,158;97;III.;FALSE;NA;normal;FALSE
1874-088X;The Open Materials Science Journal;Bentham Open;Netherlands;from publishers;3,030%;0,152;65;III.;FALSE;NA;normal;FALSE
1874-155X;The Open Mechanical Engineering Journal;Bentham Open;Netherlands;from publishers;3,041%;0,191;284;III.;FALSE;NA;normal;FALSE
1874-2858;The Open Microbiology Journal;Bentham Open;Netherlands;from publishers;46,429%;0,767;62;IV.;FALSE;NA;normal;FALSE
1874-4346;The Open Nursing Journal;Bentham Open;Netherlands;from publishers;35,000%;0,426;33;IV.;FALSE;NA;not in DOAJ;FALSE
1874-3641;The Open Ophthalmology Journal;Bentham Open;Netherlands;from publishers;49,412%;0,651;70;IV.;FALSE;NA;normal;FALSE
1876-3863;The Open Pain Journal;Bentham Open;Netherlands;from publishers;62,745%;0,356;35;IV.;FALSE;NA;normal;FALSE
1874-8341;The Open Petroleum Engineering Journal;Bentham Open;Netherlands;from publishers;9,565%;0,134;106;III.;TRUE;NA;normal;FALSE
1874-3501;The Open Psychology Journal;Bentham Open;Netherlands;from publishers;58,621%;0,119;46;IV.;FALSE;NA;normal;FALSE
1874-3064;The Open Respiratory Medicine Journal;Bentham Open;Netherlands;from publishers;51,923%;0,37;46;IV.;FALSE;NA;normal;FALSE
1874-3129;The Open Rheumatology Journal;Bentham Open;Netherlands;from publishers;59,155%;1,01;57;I.;FALSE;NA;normal;FALSE
1875-399X;The Open Sports Sciences Journal;Bentham Open;Netherlands;from publishers;37,500%;0,119;37;IV.;FALSE;NA;normal;FALSE
1874-303X;The Open Urology & Nephrology Journal;Bentham Open;Netherlands;from publishers;62,903%;0,117;57;IV.;FALSE;NA;normal;FALSE
0975-8216;The Pharma Research;Sudarshan Institute of Technical & Education Publication P. Ltd.;India;from standalone journals;0,000%;0,12;55;III.;FALSE;NA;not in DOAJ;FALSE
1818-5800;The Social Sciences;Medwell Journals;Pakistan;from publishers;1,486%;0,149;448;III.;FALSE;NA;not in DOAJ;FALSE
1818-4952;World Applied Sciences Journal;International Digital Organization for Scientific Information;United Arab Emirates;from publishers;1,891%;0,191;3618;III.;FALSE;NA;not in DOAJ;TRUE
1817-3055;World Journal of Medical Sciences;International Digital Organization for Scientific Information;United Arab Emirates;from publishers;2,069%;0,145;131;III.;FALSE;NA;not in DOAJ;TRUE
1746-7233;World Journal of Modelling and Simulation;World Academic Union (World Academic Press);United Kingdom;from publishers;6,667%;0,142;85;III.;FALSE;NA;not in DOAJ;FALSE
1991-8747;WSEAS Transactions on Applied and Theoretical Mechanics;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;8,642%;0,181;75;III.;FALSE;NA;not in DOAJ;TRUE
1109-9518;WSEAS Transactions on Biology and Biomedicine;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;15,686%;0,204;43;III.;FALSE;NA;not in DOAJ;TRUE
1109-9526;WSEAS Transactions on Business and Economics;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;7,143%;0,327;137;III.;FALSE;NA;not in DOAJ;TRUE
1109-2734;WSEAS Transactions on Circuits and Systems;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;10,526%;0,149;87;III.;FALSE;NA;not in DOAJ;TRUE
1109-2742;WSEAS Transactions on Communications;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;11,039%;0,119;136;III.;FALSE;NA;not in DOAJ;TRUE
1109-2750;WSEAS Transactions on Computers;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;8,772%;0,18;104;III.;FALSE;NA;not in DOAJ;TRUE
1790-5079;WSEAS Transactions on Environment and Development;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;9,009%;0,31;99;III.;FALSE;NA;not in DOAJ;TRUE
1790-5087;WSEAS Transactions on Fluid Mechanics;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;20,755%;0,198;46;III.;FALSE;NA;not in DOAJ;TRUE
1790-5044;WSEAS Transactions on Heat and Mass Transfer;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;12,195%;0,188;38;III.;FALSE;NA;not in DOAJ;TRUE
1790-0832;WSEAS Transactions on Information Science and Applications;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;14,063%;0,182;60;III.;FALSE;NA;not in DOAJ;TRUE
1109-2769;WSEAS Transactions on Mathematics;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;6,335%;0,175;208;III.;FALSE;NA;not in DOAJ;TRUE
2224-2880;WSEAS Transactions on Mathematics (Online);World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;6,335%;0,175;208;III.;FALSE;NA;not in DOAJ;TRUE
1790-5060;WSEAS Transactions on Power Systems;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;3,571%;0,224;73;III.;FALSE;NA;not in DOAJ;TRUE
1109-2777;WSEAS Transactions on Systems;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;7,947%;0,217;132;III.;FALSE;NA;not in DOAJ;TRUE
1991-8763;WSEAS Transactions on Systems and Controls;World Scientific and Engineering Academy and Society (W S E A S);Greece;from publishers;9,220%;0,271;134;III.;FALSE;NA;not in DOAJ;TRUE
